,track,tw,wb,df_scale,drag_scale
168,0,48,60.5,0.8807017543859674,0.9160000000000013
169,0,48,61.5,0.8807017543859674,0.9160000000000013
170,0,48,62.5,0.8807017543859674,0.9160000000000013
171,0,48,63.5,0.8807017543859674,0.9160000000000013
172,0,48,64.5,0.8807017543859674,0.9160000000000013
173,0,48,65.5,0.8807017543859674,0.9160000000000013
174,0,48,66.5,0.8807017543859674,0.9160000000000013
175,0,48,67.5,0.8807017543859674,0.9160000000000013
176,0,48,68.5,0.8807017543859674,0.9160000000000013
177,0,48,69.5,0.8807017543859674,0.9160000000000013
178,0,48,70.5,0.8807017543859674,0.9160000000000013
179,0,48,71.5,0.8807017543859674,0.9160000000000013
180,0,48,72.5,0.8807017543859674,0.9160000000000013
181,0,48,73.5,0.8807017543859674,0.9160000000000013
182,0,48,74.5,0.8807017543859674,0.9160000000000013
183,0,48,75.5,0.8807017543859674,0.9160000000000013
184,0,48,76.5,0.8807017543859674,0.9160000000000013
185,0,48,77.5,0.8807017543859674,0.9160000000000013
186,0,48,78.5,0.8807017543859674,0.9160000000000013
187,0,48,79.5,0.8807017543859674,0.9160000000000013
188,0,48,80.5,0.8807017543859674,0.9160000000000013
189,0,49,60.5,0.9403508771929843,0.9580000000000006
190,0,49,61.5,0.9403508771929843,0.9580000000000006
191,0,49,62.5,0.9403508771929843,0.9580000000000006
192,0,49,63.5,0.9403508771929843,0.9580000000000006
193,0,49,64.5,0.9403508771929843,0.9580000000000006
194,0,49,65.5,0.9403508771929843,0.9580000000000006
195,0,49,66.5,0.9403508771929843,0.9580000000000006
196,0,49,67.5,0.9403508771929843,0.9580000000000006
197,0,49,68.5,0.9403508771929843,0.9580000000000006
198,0,49,69.5,0.9403508771929843,0.9580000000000006
199,0,49,70.5,0.9403508771929843,0.9580000000000006
200,0,49,71.5,0.9403508771929843,0.9580000000000006
201,0,49,72.5,0.9403508771929843,0.9580000000000006
202,0,49,73.5,0.9403508771929843,0.9580000000000006
203,0,49,74.5,0.9403508771929843,0.9580000000000006
